sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
850,0,850,27.314073,0,22,211.921783,391.428375,0.170000,0.136000,0.000000
850,0,850,27.314073,0,23,254.399490,390.543213,0.204000,0.136000,0.000000
850,1,850,27.314073,0,1,1260.530151,440.722290,0.068000,0.034000,0.000000
850,1,850,27.314073,0,2,1301.064087,442.736542,0.102000,0.034000,0.000000
850,1,850,27.314073,0,3,1341.488403,443.606598,0.136000,0.034000,0.000000
850,1,850,27.314073,0,4,1380.967896,445.683716,0.170000,0.034000,0.000000
850,1,850,27.314073,0,5,1420.264038,446.248840,0.204000,0.034000,0.000000
850,1,850,27.314073,0,7,1259.669922,486.080566,0.068000,0.068000,0.000000
850,1,850,27.314073,0,8,1300.370117,487.152191,0.102000,0.068000,0.000000
850,1,850,27.314073,0,9,1340.518066,488.480865,0.136000,0.068000,0.000000
850,1,850,27.314073,0,10,1380.535889,489.552246,0.170000,0.068000,0.000000
850,1,850,27.314073,0,11,1419.849854,490.169495,0.204000,0.068000,0.000000
850,1,850,27.314073,0,12,1216.707886,531.072266,0.034000,0.102000,0.000000
850,1,850,27.314073,0,13,1258.317505,531.311035,0.068000,0.102000,0.000000
850,1,850,27.314073,0,14,1299.394775,531.763672,0.102000,0.102000,0.000000
850,1,850,27.314073,0,15,1340.085938,533.263794,0.136000,0.102000,0.000000
850,1,850,27.314073,0,16,1379.228394,534.326538,0.170000,0.102000,0.000000
850,1,850,27.314073,0,17,1418.174561,534.563049,0.204000,0.102000,0.000000
850,1,850,27.314073,0,20,1297.538208,576.456543,0.102000,0.136000,0.000000
850,1,850,27.314073,0,21,1338.772827,577.740967,0.136000,0.136000,0.000000
850,1,850,27.314073,0,22,1378.042114,578.129822,0.170000,0.136000,0.000000
850,1,850,27.314073,0,23,1417.624634,578.536621,0.204000,0.136000,0.000000
855,0,855,27.474744,0,0,38.888592,282.402802,0.034000,0.034000,0.000000
855,0,855,27.474744,0,1,81.514282,281.325836,0.068000,0.034000,0.000000
855,0,855,27.474744,0,2,124.296150,280.339172,0.102000,0.034000,0.000000
855,0,855,27.474744,0,3,167.199768,279.647491,0.136000,0.034000,0.000000
855,0,855,27.474744,0,4,208.518951,279.048645,0.170000,0.034000,0.000000
855,0,855,27.474744,0,5,249.888199,277.105865,0.204000,0.034000,0.000000
855,0,855,27.474744,0,6,40.914589,323.372375,0.034000,0.068000,0.000000
855,0,855,27.474744,0,7,84.854286,321.337250,0.068000,0.068000,0.000000
855,0,855,27.474744,0,8,126.896324,321.119019,0.102000,0.068000,0.000000
855,0,855,27.474744,0,9,169.608856,319.336700,0.136000,0.068000,0.000000
855,0,855,27.474744,0,10,210.647629,317.955536,0.170000,0.068000,0.000000
855,0,855,27.474744,0,11,252.573624,317.402100,0.204000,0.068000,0.000000
855,0,855,27.474744,0,12,43.603115,364.201141,0.034000,0.102000,0.000000
855,0,855,27.474744,0,13,86.325569,362.238373,0.068000,0.102000,0.000000
855,0,855,27.474744,0,15,171.402618,359.531281,0.136000,0.102000,0.000000
855,0,855,27.474744,0,16,213.668472,358.469849,0.170000,0.102000,0.000000
855,0,855,27.474744,0,18,44.485531,403.335541,0.034000,0.136000,0.000000
855,0,855,27.474744,0,19,88.728966,403.177185,0.068000,0.136000,0.000000
855,0,855,27.474744,0,20,131.404907,401.102875,0.102000,0.136000,0.000000
855,0,855,27.474744,0,21,174.165543,399.557587,0.136000,0.136000,0.000000
855,0,855,27.474744,0,22,215.364548,397.590698,0.170000,0.136000,0.000000
855,1,855,27.474744,0,0,1210.632446,448.945801,0.034000,0.034000,0.000000
855,1,855,27.474744,0,1,1251.052490,449.655945,0.068000,0.034000,0.000000
855,1,855,27.474744,0,2,1291.167480,450.331818,0.102000,0.034000,0.000000
855,1,855,27.474744,0,3,1330.928345,451.011871,0.136000,0.034000,0.000000
855,1,855,27.474744,0,4,1369.098267,452.372101,0.170000,0.034000,0.000000
855,1,855,27.474744,0,5,1407.558350,452.159241,0.204000,0.034000,0.000000
855,1,855,27.474744,0,6,1209.878540,493.766449,0.034000,0.068000,0.000000
855,1,855,27.474744,0,7,1250.300537,493.879364,0.068000,0.068000,0.000000
855,1,855,27.474744,0,8,1290.432373,494.373016,0.102000,0.068000,0.000000
855,1,855,27.474744,0,9,1330.223145,494.724548,0.136000,0.068000,0.000000
855,1,855,27.474744,0,10,1368.907593,495.467987,0.170000,0.068000,0.000000
855,1,855,27.474744,0,11,1406.767212,495.829865,0.204000,0.068000,0.000000
855,1,855,27.474744,0,12,1208.811401,538.303467,0.034000,0.102000,0.000000
855,1,855,27.474744,0,13,1249.650269,538.696655,0.068000,0.102000,0.000000
855,1,855,27.474744,0,15,1328.875977,539.043335,0.136000,0.102000,0.000000
855,1,855,27.474744,0,16,1367.870850,538.915771,0.170000,0.102000,0.000000
855,1,855,27.474744,0,18,1207.569214,583.306641,0.034000,0.136000,0.000000
855,1,855,27.474744,0,20,1288.161499,582.753906,0.102000,0.136000,0.000000
855,1,855,27.474744,0,21,1327.665405,582.886719,0.136000,0.136000,0.000000
855,1,855,27.474744,0,22,1366.495239,582.298889,0.170000,0.136000,0.000000
860,0,860,27.635415,0,2,140.522095,278.372223,0.102000,0.034000,0.000000
860,0,860,27.635415,0,3,182.253418,277.743561,0.136000,0.034000,0.000000
860,0,860,27.635415,0,4,224.092804,277.264771,0.170000,0.034000,0.000000
860,0,860,27.635415,0,5,264.120941,275.690308,0.204000,0.034000,0.000000
860,0,860,27.635415,0,8,142.403748,318.233063,0.102000,0.068000,0.000000
860,0,860,27.635415,0,9,185.237213,316.829559,0.136000,0.068000,0.000000
860,0,860,27.635415,0,10,225.838013,316.492828,0.170000,0.068000,0.000000
860,0,860,27.635415,0,11,268.287323,314.632477,0.204000,0.068000,0.000000
860,0,860,27.635415,0,14,145.431686,357.667938,0.102000,0.102000,0.000000
860,0,860,27.635415,0,15,186.801178,357.256531,0.136000,0.102000,0.000000
860,0,860,27.635415,0,16,228.567963,355.837158,0.170000,0.102000,0.000000
860,0,860,27.635415,0,17,268.816254,354.774078,0.204000,0.102000,0.000000
860,0,860,27.635415,0,18,61.336933,400.158600,0.034000,0.136000,0.000000
860,0,860,27.635415,0,19,104.853989,399.276855,0.068000,0.136000,0.000000
860,0,860,27.635415,0,20,147.114365,397.795685,0.102000,0.136000,0.000000
860,0,860,27.635415,0,21,188.939590,396.739197,0.136000,0.136000,0.000000
860,0,860,27.635415,0,22,230.464478,395.527802,0.170000,0.136000,0.000000
860,0,860,27.635415,0,23,271.430695,393.542633,0.204000,0.136000,0.000000
860,1,860,27.635415,0,2,1297.709351,446.411011,0.102000,0.034000,0.000000
860,1,860,27.635415,0,3,1335.571777,448.003296,0.136000,0.034000,0.000000
860,1,860,27.635415,0,4,1373.970947,448.567200,0.170000,0.034000,0.000000
860,1,860,27.635415,0,8,1296.518433,490.634521,0.102000,0.068000,0.000000
860,1,860,27.635415,0,9,1335.366333,491.064148,0.136000,0.068000,0.000000
860,1,860,27.635415,0,10,1373.232300,492.242218,0.170000,0.068000,0.000000
860,1,860,27.635415,0,11,1410.681274,492.384003,0.204000,0.068000,0.000000
860,1,860,27.635415,0,14,1295.276611,535.033691,0.102000,0.102000,0.000000
860,1,860,27.635415,0,15,1334.623535,535.268433,0.136000,0.102000,0.000000
860,1,860,27.635415,0,16,1372.488647,534.908081,0.170000,0.102000,0.000000
860,1,860,27.635415,0,17,1409.986206,536.294495,0.204000,0.102000,0.000000
860,1,860,27.635415,0,18,1215.237061,578.461975,0.034000,0.136000,0.000000
860,1,860,27.635415,0,19,1255.294678,578.573914,0.068000,0.136000,0.000000
860,1,860,27.635415,0,20,1294.498291,578.444641,0.102000,0.136000,0.000000
860,1,860,27.635415,0,21,1333.448975,578.768799,0.136000,0.136000,0.000000
860,1,860,27.635415,0,22,1370.118774,577.390259,0.170000,0.136000,0.000000
860,1,860,27.635415,0,23,1409.866211,577.607910,0.204000,0.136000,0.000000
865,0,865,27.796086,0,2,165.659836,278.469421,0.102000,0.034000,0.000000
865,0,865,27.796086,0,3,207.378632,277.646393,0.136000,0.034000,0.000000
865,0,865,27.796086,0,4,249.344894,276.627533,0.170000,0.034000,0.000000
